name,group
YEL004W,1
YEL005C,1
YEL006W,1
YEL007W,0
YEL011W,1
YEL015W,1
YEL016C,1
YEL017W,1
YEL018W,1
YEL021W,5
YEL023C,1
YEL024W,0
YEL025C,1
YEL026W,4
YEL032W,5
YEL034W,2
YEL037C,5
YEL039C,1
YEL042W,1
YEL043W,1
YEL046C,1
YEL047C,140
YEL048C,29
YEL051W,1
YEL052W,2
YEL053C,1
YEL055C,1
YEL056W,1
YEL057C,1
YEL061C,1
YEL062W,1
YEL064C,5
YEL065W,1
YEL070W,7
YEL072W,1
YEL073C,1
YEL074W,7
YEL076C,5
YEL077C,0
YER001W,1
YER003C,1
YER005W,1
YER007W,4
YER009W,5
YER011W,143
YER012W,1
YER014W,1
YER016W,6
YER017C,1
YER018C,1
YER019W,6
YER020W,1
YER022W,0
YER028C,4
YER032W,1
YER033C,1
YER034W,1
YER042W,0
YER047C,12
YER053C,1
YER054C,1
YER056C,1
YER058W,1
YER060W,0
YER062C,5
YER064C,1
YER065C,1
YER067W,2
YER068W,1
YER069W,1
YER070W,1
YER071C,1
YER074W,5
YER075C,1
YER079W,64
YER081W,6
YER082C,1
YER083C,0
YER084W,1
YER093C,1
YER095W,0
YER096W,24
YER099C,1
YER102W,1
YER103W,1
YER104W,1
YER105C,1
YER107C,1
YER111C,1
YER113C,1
YER114C,0
YER117W,2
YER118C,1
YER119C,0
YER121W,3
YER123W,0
YER124C,1
YER128W,1
YER129W,1
YER131W,1
YER132C,1
YER137C,1
YER138C,5
YER139C,1
YER140W,1
YER141W,0
YER142C,1
YER143W,0
YER147C,1
YER148W,1
YER150W,1
YER152C,1
YER155C,0
YER160C,1
YER166W,1
YER168C,1
YER170W,7
YER171W,1
YER172C,1
YER174C,1
YER175C,1
YER179W,0
YER187W,0
YER188W,6
YER189W,1
YER190W,1
YFL001W,1
YFL005W,1
YFL006W,1
YFL007W,1
YFL008W,28
YFL014W,4
YFL016C,1
YFL018C,0
YFL022C,1
YFL030W,1
YFL032W,1
YFL036W,0
YFL039C,6
YFL043C,1
YFL044C,1
YFL048C,1
YFL054C,
YFL056C,1
YFL057C,1
YFL058W,4
YFL059W,1
YFL060C,1
YFL064C,1
YFL065C,1
YFL067W,1
YFR003C,0
YFR008W,0
YFR015C,0
YFR017C,1
YFR019W,1
YFR020W,0
YFR023W,1
YFR024C,1
YFR026C,1
